date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
1/15/2016,402325.0498,10617,90321700,1.21,3910550,26919.21875,26.77617641
1/16/2016,1153374.959,9827,93099400,1.22,2462630,26797.34375,23.16012422
1/17/2016,759713.3309,10622,93207300,1.33,1171150,26523.125,22.65025706
1/18/2016,530471.611,9707,101699000,1.43,4278930,26599.84375,17.0397022
1/19/2016,3104335.741,12883,108628000,1.37,2446740,26620.15625,30.91880998
1/20/2016,1898308.913,13383,104124000,1.53,2933220,26092.8125,35.57695823
1/21/2016,930336.5124,10549,117111000,1.55,1614960,26542.5,19.01349187
1/22/2016,742527.1317,10636,118244000,1.5,1567240,25919.21875,20.29597583
1/23/2016,1810478.592,13752,115002000,1.97,7370980,26255,31.18132507
1/24/2016,2447846.972,10946,145358000,2.14,9669770,25769.6875,17.43280341
1/25/2016,4801648.834,12715,164313000,2.5,10739300,27239.21875,23.73088258
1/26/2016,4878028.279,17048,193838000,2.28,13939200,25700.78125,40.19124286
1/27/2016,3453823.922,16451,172061000,2.39,6961080,26985.46875,37.89805755
1/28/2016,3077775.185,18660,184294000,2.53,4903850,26104.53125,56.86014672
1/29/2016,2295583.742,16692,194815000,2.49,6662340,26560.9375,41.35601104
1/30/2016,2115529.355,16323,192176000,2.45,3725080,26164.21875,37.41034343
1/31/2016,2286923.794,14594,187289000,2.31,5847500,26193.125,35.42928217
2/1/2016,2420235.932,14092,177881000,2.21,3994100,25681.875,33.88376937
2/2/2016,1463886.236,14122,169923000,2.44,3451270,26431.25,32.53922742
2/3/2016,1566748.181,14242,186609000,2.53,3987750,25864.6875,29.46292784
2/4/2016,1600548.618,14218,194126000,2.58,3552320,27301.71875,27.72917548
2/5/2016,838020.7642,14273,197363000,2.54,2636700,26562.34375,32.71750186
2/6/2016,1458506.729,15140,194621000,2.53,1921240,26558.59375,38.97437149
2/7/2016,692727.8755,31337,194884000,2.96,7007060,26345.78125,240.7828361
2/8/2016,2847971.66,14219,228504000,3.18,9725690,26684.6875,53.12073391
2/9/2016,5952257.019,14598,244110000,4.04,17954000,26651.875,37.81242736
2/10/2016,6955574.338,15453,307684000,4.44,28640400,26474.21875,50.16692548
2/11/2016,11639791.65,17079,345964000,6.01,26408200,26161.25,58.88424437
2/12/2016,9972731.363,21064,457618000,5.55,23360800,26477.8125,46.52354727
2/13/2016,11332802.43,18001,437667000,5.39,24218800,26498.90625,33.06554542
2/14/2016,6770715.642,19247,416193000,5.24,11226500,26884.6875,36.11858571
2/15/2016,4864253.424,16571,410643000,5.29,13934200,26329.0625,27.7730443
2/16/2016,3163757.425,17096,410605000,4.32,15889100,26225.3125,30.72534296
2/17/2016,4887366.631,17458,330635000,3.76,15451000,26445.78125,33.29452081
2/18/2016,3317667.517,19901,291068000,4.4,17054000,25672.03125,41.01939368
2/19/2016,5341623.493,16895,338222000,4.74,7666320,26214.84375,29.26992335
2/20/2016,2144319.456,17788,361281000,4.34,8631090,26655.46875,37.03600329
2/21/2016,5542949.386,16664,336572000,4.65,6413550,26560.78125,26.7916449
2/22/2016,2680930.506,16981,360185000,5.62,15056200,26536.5625,28.14068031
2/23/2016,4496981.763,18096,439084000,5.59,13380600,26757.8125,32.54911106
2/24/2016,9673772.907,18357,432977000,6.24,11426500,26170,94.16436625
2/25/2016,12777756.75,19476,478149000,6.1,21471800,26426.875,52.03207134
2/26/2016,5462614.522,19412,466797000,5.92,9526860,26823.75,31.61284309
2/27/2016,25795550.54,20374,461169000,6.43,8903210,26654.0625,50.86164043
2/28/2016,14057360.66,18903,495545000,6.47,9851660,26196.09375,28.37474469
2/29/2016,4940966.256,18954,499587000,6.34,7648020,26425.78125,29.3587208
3/1/2016,5443068.233,20146,489188000,7.65,23098100,25229.53125,32.94419021
