date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
7/26/2014,6886031.485,1147,27359100,5.97,175004,2981,2.0113912
7/27/2014,1867527.794,1060,26902000,5.83,175722,2874,1.54095348
7/28/2014,1086356.067,1067,26303900,5.17,405543,2858,1.18547717
7/29/2014,786301.3739,1240,23416800,4.79,294949,2769,2.30541376
7/30/2014,2464542.561,1234,21674000,4.45,329136,2815,1.82388496
7/31/2014,3556820.824,1287,20134700,5.57,387401,3065,2.81760414
8/1/2014,663505.307,1291,25079000,5.64,252698,3211,2.274802
8/2/2014,683390.8942,1382,25475400,5.71,185190,3494,2.57737889
8/3/2014,531961.2648,1130,25819300,5.8,280722,3035,1.45788271
8/4/2014,595685.403,1094,26380600,5.31,179607,2845,2.12564681
8/5/2014,359068.5902,1042,24053200,5.41,107685,2757,1.50758942
8/6/2014,2680903.175,971,24444200,5.77,211361,2765,1.49601605
8/7/2014,369184.043,961,26184200,5.65,140303,2715,2.35988539
8/8/2014,392573.5548,1008,25676800,5.99,269415,2778,1.41544056
8/9/2014,20875820.57,1050,27396600,5.59,235890,2778,1.57003468
8/10/2014,325389.2551,954,25451100,5.72,218033,2760,1.26848243
8/11/2014,9853039.271,989,26027300,5.08,223309,2720,1.32074937
8/12/2014,2135685.621,1035,23097300,5.02,94300,2768,1.71894986
8/13/2014,103770.5979,980,22864000,4.86,287212,2782,1.07968291
8/14/2014,1192224.931,1469,22211800,4.06,197663,2841,2.93670155
8/15/2014,1172273.12,1892,18640900,3.64,276892,2767,5.11409967
8/16/2014,1599330.383,1771,16619900,2.92,296592,2729,14.4932593
8/17/2014,1297673.994,1419,13439000,2.36,370021,2765,23.74794736
8/18/2014,588261.2438,1522,10783300,1.54,699964,2748,46.55359322
8/19/2014,4147313.512,1800,7077960,3.32,674022,2851,79.74846115
8/20/2014,3806403.049,1585,15377700,3.81,722557,2867,6.66509349
8/21/2014,1958202.531,1470,17412100,3.38,241925,2758,3.099023
8/22/2014,5286176.665,1296,15430600,3.17,286798,2813,2.67998627
8/23/2014,7809800.444,1320,14503600,2.99,132039,2810,7.27091393
8/24/2014,611819.838,1235,13697900,3.09,64140,2818,2.55190129
8/25/2014,702528.0146,1041,14164300,2.68,133764,2838,2.05965627
8/26/2014,325895.8493,1014,12326200,2.72,157503,2775,1.82770008
8/27/2014,653879.8459,987,12514400,2.29,328963,2813,1.86353967
8/28/2014,870369.6876,1063,10516400,2.37,158460,2906,2.29790001
8/29/2014,1902591.843,1051,10944500,2.55,148519,3022,2.13835488
8/30/2014,633955.5678,985,11735400,2.43,85691,3004,1.9341
8/31/2014,283189.1313,1095,11238900,2.41,112735,3038,1.805
9/1/2014,150874.7686,1065,11072200,2.27,73377,3152,2.37570102
9/2/2014,126214.3586,1106,10450100,2.32,52918,3253,1.95413
9/3/2014,225120.1348,1078,10716400,2.64,173985,3212,1.67014002
9/4/2014,733620.2642,1222,12295500,3.08,393252,3141,2.20662006
9/5/2014,429609.1383,1286,14256300,2.84,241196,2883,2.17109898
9/6/2014,471282.8321,1129,13110700,2.98,221277,2852,1.84859525
9/7/2014,2925777.853,1104,13777400,2.9,70704,2982,1.65740856
9/8/2014,133320.7371,866,13432500,2.78,89576,2777,1.201249
9/9/2014,162419.8953,881,12872700,2.91,58552,2913,1.32691601
9/10/2014,111944.0282,871,13508300,2.82,61808,2934,1.36250001
9/11/2014,101039.0864,959,13101500,2.8,39876,3054,1.5308
9/12/2014,170559.3261,954,13041200,2.85,64957,3064,1.33565959
9/13/2014,129290.3612,977,13233400,2.87,85324,3276,1.65719273
9/14/2014,157977.6481,933,13379600,2.8,93526,3129,1.4231
9/15/2014,124270.2902,877,13008200,3.07,288266,3114,1.08718942
9/16/2014,460809.8284,1037,14358700,3.33,130826,2879,3.14564631
9/17/2014,273545.1821,843,15496100,3.75,574556,2816,2.06405034
9/18/2014,2221406.937,1436,17592300,3.87,438932,2755,3.77321443
9/19/2014,1880241.763,1398,18024200,3.43,353146,2784,3.60728021
9/20/2014,1057240.734,1535,15998300,3.18,211501,2788,3.66560856
9/21/2014,788204.5201,949,14832500,2.97,142460,2782,1.91810451
9/22/2014,248423.1918,834,13883800,3.36,138652,2798,1.3311
9/23/2014,4000605.9,1189,15705000,3.4,146543,2914,2.23221344
9/24/2014,724584.1789,1273,15981900,3.34,74906,2809,3.92164063
9/25/2014,459198.5856,1168,15629100,3,102167,2860,3.33147502
9/26/2014,527400.3913,1143,14055000,2.89,99224,3015,2.86781835
